,profit,loss
423,40.0,35.0
424,44.0,32.0
425,29.0,47.0
426,17.0,42.0
427,20.0,46.0
428,22.0,45.0
429,26.0,49.0
430,18.0,55.0
431,14.0,47.0
432,10.0,79.0
433,12.0,49.0
434,13.0,39.0
435,13.0,35.0
436,14.0,27.0
437,14.0,33.0
438,12.0,33.0
439,14.0,53.0
440,13.0,56.0
441,10.0,77.0
442,9.0,57.0
443,9.0,33.0
444,7.0,31.0
445,5.0,35.0
446,6.0,57.0
447,3.0,92.0
448,3.0,145.0
449,3.0,105.0
450,2.0,154.0
451,4.0,124.0
452,8.0,102.0
453,6.0,95.0
454,6.0,125.0
455,5.0,82.0
456,6.0,57.0
457,4.0,49.0
458,3.0,62.0
459,3.0,66.0
460,7.0,39.0
461,5.0,67.0
462,8.0,36.0
463,8.0,56.0
464,10.0,76.0
465,11.0,84.0
466,10.0,115.0
467,13.0,96.0
468,16.0,92.0
469,18.0,70.0
470,21.0,61.0
471,34.0,53.0
472,31.0,45.0
